Arbrook,Material Switch Time,BGFX,Material Switch Time,Native,Material Switch Time,
 ,0.0017, ,1e-04, ,0.1206,
 ,0.0038, ,1e-04, ,0.1098,
 ,0.0028, ,0, ,0.1116,
 ,0.002, ,0, ,0.1071,
 ,0.0021, ,0, ,0.1048,
 ,0.0024, ,1e-04, ,0.1055,
 ,0.002, ,0, ,0.1027,
 ,0.0026, ,1e-04, ,0.1119,
 ,0.0017, ,1e-04, ,0.1003,
 ,0.0017, ,1e-04, ,0.1511,
 ,0.002, ,0, ,0.111,
 ,0.0018, ,1e-04, ,0.1253,
 ,0.0017, ,1e-04, ,0.1079,
 ,0.0018, ,1e-04, ,0.1069,
 ,0.0018, ,1e-04, ,0.1066,
 ,0.0021, ,1e-04, ,0.109,
 ,0.0018, ,1e-04, ,0.1065,
 ,0.0017, ,1e-04, ,0.1026,
 ,0.0019, ,1e-04, ,0.1029,
 ,0.0018, ,1e-04, ,0.1016,
 ,0.0017, ,1e-04, ,0.1025,
 ,0.0018, ,1e-04, ,0.1004,
 ,0.0018, ,1e-04, ,0.1013,
 ,0.0021, ,0, ,0.1041,
 ,0.0017, ,0, ,0.1045,
 ,0.0017, ,1e-04, ,0.0986,
 ,0.0017, ,0, ,0.1061,
 ,0.0018, ,0, ,0.1028,
 ,0.0018, ,1e-04, ,0.1007,
 ,0.0017, ,1e-04, ,0.1039,
 ,0.0017, ,1e-04, ,0.0982,
 ,0.0021, ,0, ,0.1155,
 ,0.0018, ,1e-04, ,0.1078,
 ,0.0015, ,1e-04, ,0.1009,
 ,0.0018, ,1e-04, ,0.1008,
 ,0.0018, ,1e-04, ,0.1029,
 ,0.0017, ,1e-04, ,0.0988,
 ,0.0016, ,1e-04, ,0.0985,
 ,0.0016, ,1e-04, ,0.117,
 ,0.002, ,1e-04, ,0.1045,
 ,0.0018, ,1e-04, ,0.1017,
 ,0.0018, ,1e-04, ,0.0995,
 ,0.0017, ,0, ,0.0999,
 ,0.0019, ,1e-04, ,0.1082,
 ,0.0017, ,0, ,0.1005,
 ,0.0018, ,1e-04, ,0.1098,
 ,0.0016, ,0, ,0.1101,
 ,0.0022, ,1e-04, ,0.1171,
 ,0.0016, ,1e-04, ,0.1007,
 ,0.0017, ,0, ,0.1007,
 ,0.0018, ,1e-04, ,0.0992,
 ,0.0018, ,1e-04, ,0.1028,
 ,0.0015, ,1e-04, ,0.1177,
 ,0.0018, ,1e-04, ,0.1115,
 ,0.0016, ,0, ,0.1175,
 ,0.002, ,1e-04, ,0.1115,
 ,0.0017, ,0, ,0.109,
 ,0.0017, ,1e-04, ,0.1118,
 ,0.0019, ,0, ,0.1168,
 ,0.002, ,1e-04, ,0.111,
 ,0.0017, ,1e-04, ,0.1,
 ,0.0017, ,1e-04, ,0.1033,
 ,0.0019, ,1e-04, ,0.1012,
