Arbrook,Drawing Time,BGFX,Drawing Time,Native,Drawing Time,
 ,0.0038, ,0.2099, ,0.0036,
 ,0.0036, ,0.1698, ,0.0044,
 ,0.0036, ,0.1802, ,0.004,
 ,0.0036, ,0.1665, ,0.0041,
 ,0.0038, ,0.1668, ,0.004,
 ,0.004, ,0.169, ,0.0044,
 ,0.0037, ,0.1684, ,0.0043,
 ,0.0036, ,0.167, ,0.004,
 ,0.0038, ,0.1668, ,0.0044,
 ,0.0037, ,0.1672, ,0.0042,
 ,0.0036, ,0.1669, ,0.004,
 ,0.0039, ,0.1674, ,0.004,
 ,0.0042, ,0.1669, ,0.0039,
 ,0.0039, ,0.1668, ,0.0042,
 ,0.0044, ,0.1729, ,0.004,
 ,0.0047, ,0.1665, ,0.0039,
 ,0.005, ,0.1686, ,0.0042,
 ,0.0041, ,0.1662, ,0.0042,
 ,0.0041, ,0.1657, ,0.004,
 ,0.0042, ,0.173, ,0.004,
 ,0.0051, ,0.1664, ,0.0041,
 ,0.0047, ,0.2662, ,0.0042,
 ,0.004, ,0.193, ,0.0038,
 ,0.0045, ,0.1811, ,0.0039,
 ,0.0043, ,0.1546, ,0.004,
 ,0.0048, ,0.1477, ,0.0043,
 ,0.0041, ,0.1567, ,0.0039,
 ,0.0049, ,0.1862, ,0.0036,
 ,0.005, ,0.1717, ,0.0037,
 ,0.0039, ,0.1697, ,0.0037,
 ,0.0045, ,0.1745, ,0.0037,
 ,0.0047, ,0.1709, ,0.0036,
 ,0.0048, ,0.1697, ,0.0036,
 ,0.0043, ,0.1685, ,0.0037,
 ,0.0048, ,0.1693, ,0.0038,
 ,0.0042, ,0.1814, ,0.0036,
 ,0.0046, ,0.1665, ,0.0035,
 ,0.0044, ,0.1685, ,0.0038,
 ,0.0043, ,0.177, ,0.0035,
 ,0.0041, ,0.1701, ,0.0034,
 ,0.0052, ,0.1676, ,0.0035,
 ,0.0039, ,0.172, ,0.004,
 ,0.0038, ,0.1683, ,0.0036,
 ,0.0041, ,0.1689, ,0.0035,
 ,0.0043, ,0.1743, ,0.0035,
 ,0.0042, ,0.17, ,0.0044,
 ,0.0037, ,0.1709, ,0.0039,
 ,0.0036, ,0.1683, ,0.0035,
 ,0.0039, ,0.1692, ,0.0036,
 ,0.004, ,0.1762, ,0.004,
 ,0.0037, ,0.1685, ,0.0037,
 ,0.0036, ,0.169, ,0.0036,
 ,0.0043, ,0.1693, ,0.0036,
 ,0.0039, ,0.1683, ,0.0039,
 ,0.0037, ,0.1754, ,0.0035,
 ,0.0037, ,0.1688, ,0.0041,
 ,0.0038, ,0.1667, ,0.0043,
 ,0.0036, ,0.17, ,0.0041,
 ,0.0036, ,0.1671, ,0.0038,
 ,0.0047, ,0.1669, ,0.0037,
 ,0.0044, ,0.167, ,0.0036,
 ,0.0042, ,0.1673, ,0.0038,
 ,0.004, ,0.1701, ,0.0036,
 ,0.0039, ,0.1674, ,0.0034,
 ,0.004, ,0.1662, ,0.0036,
 ,0.004, ,0.1684, ,0.0037,
 ,0.0039, ,0.2482, ,0.0036,
 ,0.004, ,0.1812, ,0.0036,
 ,0.004, ,0.1782, ,0.0036,
 ,0.004, ,0.1673, ,0.0037,
 ,0.0042, ,0.1694, ,0.0035,
 ,0.0039, ,0.1706, ,0.0035,
 ,0.0044, ,0.1747, ,0.0042,
 ,0.0039, ,0.1715, ,0.0043,
 ,0.0038, ,0.1679, ,0.0038,
 ,0.0037, ,0.1671, ,0.0035,
 ,0.0044, ,0.1693, ,0.0039,
 ,0.0039, ,0.1677, ,0.004,
 ,0.0036, ,0.1698, ,0.0035,
 ,0.0037, ,0.168, ,0.0036,
 ,0.0039, ,0.1694, ,0.0036,
 ,0.0036, ,0.168, ,0.004,
 ,0.0041, ,0.1668, ,0.0037,
 ,0.0039, ,0.1686, ,0.0035,
 ,0.0045, ,0.1668, ,0.0037,
 ,0.0041, ,0.1696, ,0.0039,
 ,0.0038, ,0.1705, ,0.0037,
 ,0.0036, ,0.1677, ,0.0037,
 ,0.0043, ,0.1674, ,0.0036,
 ,0.0037, ,0.1696, ,0.0038,
 ,0.0039, ,0.1674, ,0.0037,
 ,0.0038, ,0.1733, ,0.0037,
 ,0.0037, ,0.1663, ,0.0035,
 ,0.0039, ,0.2101, ,0.0037,
 ,0.0036, ,0.236, ,0.0035,
 ,0.0038, ,0.1783, ,0.0035,
 ,0.0038, ,0.1646, ,0.0056,
 ,0.0039, ,0.1656, ,0.004,
 ,0.0038, ,0.1395, ,0.0037,
 ,0.0039, ,0.1583, ,0.0036,
 ,0.0042, ,0.1769, ,0.0036,
 ,0.0038, ,0.1795, ,0.0038,
 ,0.0037, ,0.1715, ,0.0035,
 ,0.0037, ,0.1684, ,0.0037,
 ,0.0043, ,0.1932, ,0.0035,
 ,0.0036, ,0.168, ,0.0039,
 ,0.0037, ,0.1673, ,0.0037,
 ,0.0037, ,0.1738, ,0.0036,
 ,0.0043, ,0.1666, ,0.0035,
