Arbrook,FrameTime,SetupTime,Model Switch Time,BGFX,FrameTime,SetupTime,Model Switch Time,Native,FrameTime,SetupTime,Model Switch Time,
 ,0.0326, ,0.0289, ,0.4485, ,4e-04, ,0.0315, ,0.0288,
 ,0.0099, ,0.0064, ,0.6217, ,4e-04, ,0.0085, ,0.006,
 ,0.0086, ,0.005, ,0.168, ,4e-04, ,0.0071, ,0.0046,
 ,0.3133, ,0.3095, ,0.2705, ,4e-04, ,0.3113, ,0.3084,
 ,0.4894, ,0.4847, ,0.2512, ,4e-04, ,0.4721, ,0.469,
 ,0.064, ,0.0601, ,0.1432, ,4e-04, ,0.0616, ,0.0587,
 ,0.6779, ,0.669, ,0.9504, ,4e-04, ,0.7301, ,0.7264,
 ,0.0821, ,0.0784, ,0.1696, ,4e-04, ,0.085, ,0.082,
 ,0.0081, ,0.0048, ,0.1413, ,4e-04, ,0.0065, ,0.0041,
 ,0.0112, ,0.0078, ,0.7512, ,4e-04, ,0.0111, ,0.0083,
 ,1.3076, ,1.3036, ,0.712, ,4e-04, ,1.1441, ,1.141,
 ,0.1459, ,0.142, ,0.2326, ,4e-04, ,0.1468, ,0.1436,
 ,0.0311, ,0.0275, ,0.5064, ,4e-04, ,0.0331, ,0.0304,
 ,0.0098, ,0.0065, ,0.5903, ,4e-04, ,0.0086, ,0.0062,
 ,0.0081, ,0.0048, ,0.1663, ,4e-04, ,0.0065, ,0.0041,
 ,0.3226, ,0.3185, ,0.2806, ,4e-04, ,0.3249, ,0.322,
 ,0.5042, ,0.5, ,0.2478, ,3e-04, ,0.4976, ,0.4944,
 ,0.0653, ,0.0614, ,0.1416, ,4e-04, ,0.0642, ,0.0614,
 ,0.6704, ,0.6664, ,1.0125, ,4e-04, ,0.6682, ,0.6651,
 ,0.082, ,0.0783, ,0.1456, ,5e-04, ,0.0811, ,0.0782,
 ,0.0082, ,0.0047, ,0.1434, ,4e-04, ,0.0064, ,0.004,
 ,0.0115, ,0.0081, ,1.0807, ,4e-04, ,0.0101, ,0.0076,
 ,1.11, ,1.1059, ,0.7171, ,4e-04, ,1.1829, ,1.1797,
 ,0.1452, ,0.1412, ,0.243, ,4e-04, ,0.1522, ,0.1491,
 ,0.0317, ,0.0281, ,0.4736, ,4e-04, ,0.0329, ,0.0303,
 ,0.0098, ,0.0063, ,0.6186, ,4e-04, ,0.0086, ,0.0061,
 ,0.0081, ,0.0047, ,0.167, ,4e-04, ,0.0065, ,0.0041,
 ,0.3013, ,0.2976, ,0.285, ,4e-04, ,0.3113, ,0.3085,
 ,0.4812, ,0.4771, ,0.2467, ,4e-04, ,0.474, ,0.4708,
