Arbrook,Drawing Time,BGFX,Drawing Time,Native,Drawing Time,
 ,0.0022, ,0.1659, ,0.0014,
 ,0.0022, ,0.1636, ,0.0013,
 ,0.0022, ,0.1654, ,0.0013,
 ,0.0023, ,0.1635, ,0.0014,
 ,0.0022, ,0.1636, ,0.0014,
 ,0.0022, ,0.1633, ,0.0012,
 ,0.0021, ,0.1674, ,0.0013,
 ,0.0021, ,0.1639, ,0.0013,
 ,0.0023, ,0.1629, ,0.0014,
 ,0.0022, ,0.1633, ,0.0013,
 ,0.0023, ,0.1712, ,0.0014,
 ,0.0022, ,0.1645, ,0.0013,
 ,0.0022, ,0.5178, ,0.0014,
 ,0.0022, ,0.1728, ,0.0014,
 ,0.0021, ,0.1314, ,0.0013,
 ,0.0022, ,0.195, ,0.0013,
 ,0.0021, ,0.1783, ,0.0014,
 ,0.0022, ,0.1733, ,0.0013,
 ,0.0022, ,0.166, ,0.0013,
 ,0.0021, ,0.1629, ,0.0013,
 ,0.0023, ,0.1627, ,0.0013,
 ,0.0022, ,0.1907, ,0.0013,
 ,0.0022, ,0.1743, ,0.0013,
 ,0.0022, ,0.1672, ,0.0013,
 ,0.0022, ,0.1653, ,0.0013,
 ,0.0021, ,0.1671, ,0.0013,
 ,0.0022, ,0.1698, ,0.0014,
 ,0.0021, ,0.1641, ,0.0013,
 ,0.0022, ,0.1633, ,0.0013,
 ,0.0022, ,0.1667, ,0.0014,
 ,0.0021, ,0.163, ,0.0014,
 ,0.0022, ,0.1661, ,0.0013,
 ,0.0021, ,0.1641, ,0.0012,
 ,0.0021, ,0.1626, ,0.0015,
 ,0.0022, ,0.215, ,0.0017,
 ,0.0022, ,0.1663, ,0.0015,
 ,0.0021, ,0.1635, ,0.0014,
 ,0.0084, ,0.1645, ,0.0013,
 ,0.0023, ,0.1665, ,0.0014,
 ,0.0022, ,0.1703, ,0.0013,
 ,0.0021, ,0.1661, ,0.0013,
 ,0.0022, ,0.1632, ,0.0013,
 ,0.0021, ,0.1663, ,0.0016,
 ,0.0023, ,0.1641, ,0.0015,
 ,0.0022, ,0.1646, ,0.0013,
 ,0.0022, ,0.1635, ,0.0014,
 ,0.0021, ,0.1641, ,0.0014,
 ,0.0022, ,0.1782, ,0.0013,
 ,0.0023, ,0.1633, ,0.0013,
 ,0.0022, ,0.1652, ,0.0013,
 ,0.0022, ,0.169, ,0.0014,
 ,0.0021, ,0.1636, ,0.0016,
 ,0.0022, ,0.1645, ,0.0014,
 ,0.0022, ,0.1655, ,0.0013,
 ,0.003, ,0.1635, ,0.0014,
 ,0.0024, ,0.1633, ,0.0013,
 ,0.0022, ,0.1662, ,0.0013,
 ,0.0022, ,0.1636, ,0.0015,
 ,0.0021, ,0.1665, ,0.0013,
 ,0.0021, ,0.1637, ,0.0014,
 ,0.0022, ,0.1632, ,0.0013,
 ,0.0022, ,0.1661, ,0.0013,
 ,0.0022, ,0.1621, ,0.0013,
 ,0.0022, ,0.1637, ,0.0014,
 ,0.0022, ,0.1631, ,0.0013,
 ,0.0022, ,0.1713, ,0.0013,
 ,0.0023, ,0.1667, ,0.0013,
 ,0.0021, ,0.1659, ,0.0014,
 ,0.0022, ,0.17, ,0.0013,
 ,0.0022, ,0.1638, ,0.0013,
 ,0.0022, ,0.2259, ,0.0015,
 ,0.0021, ,0.1818, ,0.0014,
 ,0.0021, ,0.169, ,0.0014,
 ,0.0021, ,0.1676, ,0.0014,
 ,0.0022, ,0.1811, ,0.0013,
 ,0.0022, ,0.1681, ,0.0014,
 ,0.0022, ,0.1687, ,0.0015,
 ,0.0021, ,0.1656, ,0.0014,
 ,0.0022, ,0.1698, ,0.0014,
 ,0.0021, ,0.1663, ,0.0014,
 ,0.0022, ,0.1647, ,0.0013,
 ,0.0021, ,0.1631, ,0.0014,
 ,0.0021, ,0.165, ,0.0013,
 ,0.0023, ,0.1767, ,0.0014,
 ,0.0023, ,0.498, ,0.0013,
 ,0.0021, ,0.1559, ,0.0012,
