Arbrook,Model Switch Time,BGFX,Model Switch Time,Native,Model Switch Time,
 ,0.0282, ,0.0012, ,0.0232,
 ,0.2745, ,2e-04, ,0.0305,
 ,0.0185, ,4e-04, ,0.0194,
 ,0.022, ,3e-04, ,0.0179,
 ,0.1282, ,2e-04, ,0.1783,
 ,0.1552, ,3e-04, ,0.1273,
 ,0.0168, ,3e-04, ,0.0196,
 ,0.2549, ,3e-04, ,0.3501,
 ,0.0174, ,0.0014, ,0.0208,
 ,0.0205, ,3e-04, ,0.0195,
 ,0.0236, ,3e-04, ,0.0264,
 ,0.419, ,6e-04, ,0.417,
 ,0.0306, ,5e-04, ,0.0235,
 ,0.0366, ,2e-04, ,0.0318,
 ,0.0183, ,4e-04, ,0.0196,
 ,0.0188, ,6e-04, ,0.018,
 ,0.104, ,5e-04, ,0.0984,
 ,0.2146, ,6e-04, ,0.1722,
 ,0.0168, ,4e-04, ,0.0185,
 ,0.2746, ,6e-04, ,0.2627,
 ,0.0178, ,6e-04, ,0.0177,
 ,0.0199, ,6e-04, ,0.0188,
 ,0.021, ,5e-04, ,0.0292,
 ,0.4023, ,2e-04, ,0.3051,
 ,0.0239, ,6e-04, ,0.0188,
 ,0.0358, ,6e-04, ,0.1164,
 ,0.0207, ,6e-04, ,0.0178,
 ,0.0187, ,4e-04, ,0.0181,
 ,0.2114, ,3e-04, ,0.1006,
 ,0.1593, ,4e-04, ,0.1652,
 ,0.0189, ,3e-04, ,0.0204,
 ,0.3896, ,3e-04, ,0.2436,
